FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
1/1/2018,B6,DTW,1910,1903,-7,2230,-11,327,2084
1/1/2018,B6,TPA,2331,2326,-5,538,-20,252,2084
1/1/2018,B6,DTW,1752,1918,86,2250,91,212,1197
1/1/2018,B6,LAS,1000,1036,36,1345,25,369,2475
1/1/2018,B6,BOS,1429,1511,42,1834,56,203,1005
1/1/2018,B6,TPA,657,647,-10,930,0,163,1005
1/1/2018,B6,DTW,1135,1129,-6,1500,10,211,1074
1/1/2018,B6,DTW,2200,2218,18,121,-33,363,2704
1/1/2018,B6,TPA,1508,1525,17,1557,8,32,94
1/1/2018,B6,IAG,1624,1632,8,1710,3,38,94
1/1/2018,B6,TPA,1719,1723,4,1829,-6,66,353
1/1/2018,B6,PIT,1517,1526,9,1628,-11,62,353
1/1/2018,B6,LAX,1605,1638,33,1834,19,116,814
1/1/2018,B6,FLL,1555,1619,24,1902,14,163,1121
1/1/2018,B6,MSY,530,521,-9,824,-1,183,1028
1/1/2018,B6,BDL,1843,1850,7,2026,12,96,413
1/1/2018,B6,FLL,1817,1847,30,2046,44,119,413
1/1/2018,B6,FLL,2131,2146,15,547,-2,301,2465
1/1/2018,B6,BWI,1710,1708,-2,2026,-13,378,2465
1/1/2018,B6,MSY,1259,1458,119,1726,97,148,1035
1/1/2018,B6,MCO,1851,2131,160,2248,157,77,387
1/1/2018,B6,FLL,600,558,-2,917,7,199,1076
1/1/2018,B6,RSW,700,657,-3,947,-11,170,992
1/1/2018,B6,IAH,1021,1043,22,1321,18,158,992
1/1/2018,B6,MSY,1308,1301,-7,1415,-1,74,231
1/1/2018,B6,DTW,1926,1947,21,2131,16,104,474
1/1/2018,B6,RSW,1920,2207,167,135,166,208,1185
1/1/2018,B6,DTW,1945,2051,66,2353,77,182,1185
1/1/2018,B6,BWI,815,846,31,1154,46,188,891
1/1/2018,B6,LAS,1030,1030,0,1430,69,240,972
1/1/2018,B6,EWR,1006,1203,117,1420,93,137,946
1/1/2018,B6,LGA,622,831,129,1122,121,171,946
1/1/2018,B6,DTW,1155,1214,19,1432,2,138,950
1/1/2018,B6,LAX,915,945,30,1239,27,234,1368
1/1/2018,B6,FLL,1604,1632,28,1920,17,168,1069
1/1/2018,B6,DTW,910,904,-6,1405,-3,241,1598
1/1/2018,B6,LAS,1230,1350,80,1617,67,147,946
1/1/2018,B6,IAH,1755,1948,113,2303,88,375,2602
1/1/2018,B6,MCO,831,842,11,1122,7,160,965
1/1/2018,B6,MCO,1756,1754,-2,2016,-12,142,965
1/1/2018,B6,DFW,1358,1442,44,1605,55,83,273
1/1/2018,B6,DEN,920,1003,43,1328,18,385,2586
1/1/2018,B6,DFW,2035,2058,23,2211,21,73,187
1/1/2018,B6,LAS,1155,1304,69,2121,64,317,2475
1/1/2018,B6,DEN,1100,1200,60,1550,109,230,1005
1/1/2018,B6,LAS,1836,1923,47,2155,40,152,1005
1/1/2018,B6,LAX,2245,2344,59,204,55,140,937
1/1/2018,B6,PIT,2045,2152,67,53,54,181,1074
1/1/2018,B6,MCO,1102,1102,0,1358,15,176,1074
1/1/2018,B6,FLL,823,822,-1,1104,5,162,857
1/1/2018,B6,LBE,750,803,13,1651,32,348,2704
1/1/2018,B6,TPA,1050,1057,7,1330,0,153,1050
1/1/2018,B6,ORD,1022,1015,-7,1214,12,119,563
1/1/2018,B6,LAX,732,735,3,930,-11,115,563
1/1/2018,B6,ORD,1720,1845,85,2156,94,191,989
1/1/2018,B6,DFW,1341,1338,-3,1451,-7,73,353
1/1/2018,B6,LAX,1958,1951,-7,2101,-15,70,353
1/1/2018,B6,ORD,1102,1135,33,1523,58,228,1121
1/1/2018,B6,DFW,831,828,-3,1208,26,220,1028
1/1/2018,B6,EWR,1741,1833,52,2056,25,143,1028
1/1/2018,B6,TPA,1042,1043,1,1219,-3,96,399
1/1/2018,B6,ORD,848,846,-2,1007,-19,81,280
1/1/2018,B6,MSP,1955,2104,69,2347,57,163,1173
1/1/2018,B6,PHL,730,719,-11,1019,-20,180,1035
1/1/2018,B6,MCO,1255,1513,138,1832,148,259,1674
1/1/2018,B6,EWR,600,609,9,955,4,226,1249
1/1/2018,B6,LAS,1036,1036,0,1316,-21,160,1249
1/1/2018,B6,BWI,2045,2102,17,36,23,214,1237
1/1/2018,B6,ORD,737,732,-5,1020,-20,168,1237
1/1/2018,B6,ATL,1820,1823,3,2200,-7,397,2689
1/1/2018,B6,MSP,2300,2251,-9,719,-9,328,2689
1/1/2018,B6,ATL,745,742,-3,1101,4,199,1072
1/1/2018,B6,ATL,2045,2245,120,121,119,156,1072
1/1/2018,B6,MCO,1635,1640,5,1935,23,175,828
1/1/2018,B6,FLL,1957,2019,22,2217,5,118,828
1/1/2018,B6,LGA,1359,1407,8,1638,-4,151,892
1/1/2018,B6,BWI,1750,1736,-14,1937,-32,121,892
1/1/2018,B6,DTW,1911,2024,73,2336,83,192,944
1/1/2018,B6,BWI,950,1031,41,1133,25,62,264
1/1/2018,B6,MCO,2305,2314,9,35,8,81,264
1/1/2018,B6,LAS,1040,1106,26,1423,3,377,2611
1/1/2018,B6,LAS,1140,1457,197,2325,202,328,2611
1/1/2018,B6,SAN,1143,1154,11,1322,-1,88,399
1/1/2018,B6,TPA,1830,1856,26,2139,21,343,2218
1/1/2018,B6,BOS,2208,2239,31,626,36,287,2218
1/1/2018,B6,TPA,753,815,22,1040,-2,265,1754
1/1/2018,B6,BOS,1139,1129,-10,1702,-26,213,1754
1/1/2018,B6,DTW,1415,1436,21,1742,33,186,972
1/1/2018,B6,MCO,2359,2351,-8,805,-3,314,2496
1/1/2018,B6,DTW,2101,17,196,301,190,164,950
1/1/2018,B6,MCI,1154,1236,42,1453,36,137,891
1/1/2018,B6,MCO,952,946,-6,1228,-12,162,1069
1/1/2018,B6,ATL,2118,2113,-5,537,5,324,2602
1/1/2018,B6,LAS,1550,1648,58,1755,44,67,273
1/1/2018,B6,MSY,1033,1025,-8,1151,5,86,273
1/1/2018,B6,DFW,1555,2002,247,2211,245,189,1105
1/1/2018,B6,TPA,1134,1538,244,1914,248,156,1105
